,director,link,city,state,country,nm_film_directed,nm_of_wins,nm_of_nominations
354,Ryan Coogler,http://www.imdb.com/name/nm3363032/?ref_=sr_t_1,Oakland,California,USA,12,60,87
355,S. Craig Zahler,http://www.imdb.com/name/nm0951975/?ref_=fn_all_nme_1,Miami,Florida,USA,4,4,9
356,Sam Mendes,http://www.imdb.com/name/nm0005222/?ref_=sr_t_1,Reading,Berkshire,"England, UK",22,65,79
357,Sam Raimi,http://www.imdb.com/name/nm0000600/?ref_=sr_t_1,Royal Oak,Michigan,USA,40,15,23
358,Samba Gadjigo,http://www.imdb.com/name/nm7046188/?ref_=sr_t_1,,,,2,2,6
359,Sara Fattahi,http://www.imdb.com/name/nm7986571/?ref_=sr_t_1,Damascus,,Syria,2,5,6
360,Sarah Polley,http://www.imdb.com/name/nm0001631/?ref_=sr_t_1,Toronto,Ontario,Canada,10,92,129
361,Satoshi Kon,http://www.imdb.com/name/nm0464804/?ref_=sr_t_1,Sapporo,Hokkaido,Japan,10,20,5
362,Scandar Copti,http://www.imdb.com/name/nm2738713/?ref_=sr_t_1,Jaffa,Tel Aviv,Israel,10,15,9
363,Sean Baker,http://www.imdb.com/name/nm0048918/?ref_=sr_t_1,New York City,New York,USA,15,55,106
364,Seth Rogen,http://www.imdb.com/name/nm0736622/?ref_=sr_t_1,Vancouver,British Columbia,Canada,12,16,58
365,Shane Black,http://www.imdb.com/name/nm0000948/?ref_=sr_t_1,Pittsburgh,Pennsylvania,USA,7,4,13
366,Shane Carruth,http://www.imdb.com/name/nm1503403/?ref_=sr_t_1,Myrtle Beach,South Carolina,USA,3,6,29
367,Shane Meadows,http://www.imdb.com/name/nm0276349/?ref_=sr_t_1,Uttoxeter,Staffordshire,"England, UK",20,30,32
368,Shari Springer Berman,http://www.imdb.com/name/nm0075849/?ref_=fn_all_nme_1,New York City,New York,USA,21,22,25
369,Shimit Amin,http://www.imdb.com/name/nm0024912/?ref_=sr_t_1,,,,13,9,9
370,Shlomi Elkabetz,http://www.imdb.com/name/nm1729095/?ref_=sr_t_1,Beersheba,,Israel,8,16,13
